sentence,label
建立总分支行一体化的视频会议系统，有效减少差旅费用开支；开展节能办公金点子大赛，通过全员参与网络公示与评选，激发员工对环保问题的使命感和责任感，同时落实获奖点子；向员工赠送节能灯，用于员工家庭和转送亲朋好友，提醒员工注意生活细节，处处节能环保，号召更多的人关注地球爱护环境,1
捐资万元重建的都江堰玉堂小学年内落成，发起深爱助学行系列公益活动，全国遴选志愿者支教，支持灾区教育事业，唤起公众对灾区的关注；深圳发展银行援建的广东省云安县六都镇黄湾启秀小学新校，经过两年多建设投入使用，银行向师生捐赠了多媒体教室的全套设备；开展西藏光明行活动，筹集万元爱心捐款，为日喀则地区余名藏族同胞免费实施白内障复明手术；举办走进南极科普展，累计参观人数突破万人次，号召公众关注气候变化问题；举办向未来致意绿色视听交响音乐会，用艺术形式唤起公众对环境问题的重视；积极参与百万森林项目，捐赠万颗沙棘树苗，支持西部环保治沙事业,0
信用卡业务确立环保时尚健康价值定位，陆续发行了完全环保概念的靓绿卡第一张银联标准卡高端产品白金至尊卡国内第一张环保概念汽车卡靓车卡,1
同时，信用卡中心致力在产品风险资产组合渠道优化和运营效率等多方面的客户服务专业化管理，并以环保时尚健康作为核心价值定位，实现快速增长,1
深圳发展银行积极履行和实践企业社会责任的价值标准和行为准则，坚持诚信合规经营，维护客户利益，为社会提供优质金融产品和服务，保障员工合法权益，注重环保热衷公益回馈社会,1
一服务世博上海分行集中开展擦亮窗口行动，以网点窗口环境和世博宣传为主线，全面落实保洁工作责任制，划分保洁责任区域；完善服务配套设施，有序引导服务对象；扮靓服务窗口，融入世博元素；完善检查评估制度，明确服务环境要求,0
精细节能管理,1
扶手电梯节能改造,1
强调环保准入关，把环保达标和节能减排合规作为对客户授信准入和审批的基本依据，严禁介入国家环保部公布的流域限批地区环境敏感地区的污染企业或项目,1
建立名单管理制，对高污染高耗能行业采取严格的名单制管理，即严格禁止对列入国家发改委环保部门公布的不符合环保标准和节能减排要求的企业或项目进行信贷投放；对央行银监会重点关注的高污染高耗能行业，强调注重区别对待扶优限劣，坚持环保政策底线,1
针对国家地区环保部门及监管部门要求，严格企业环保要求，对续做新做授信企业，重点考虑其生产设备先进程度产品环保情况行业环保情况环保措施等方面，从严审批,1
坚决退出针对出现环保问题而未按照有关部门整改通过的企业,1
在零售贷款的个人经营性贷款中，我行重点支持环保低碳高效能的中小微型企业，无论是贷款方案的设计，贷款产品的选择，或者是贷款审批的时效上，都给予快速通道的特殊办理，以达到促进企业快速健康发展的目的,1
二公益活动年，我行主要围绕环保助学灾难救助三大领域，展开了一系列社会责任公益活动,1
二环保与助学组织第二届深爱助学行之深知我心爱心传递活动，搭建网上交换平台，利用网络平面等宣传途径，呼吁社会各界帮助希望小学的孩子实现学习愿望，并组织玉堂小学的师生游世博及与上海静安小学的师生联谊等活动,0
启动书送爱心亮绿未来捐书赠节能灯计划，我行在全国的营业网点向银行客户及普通民众征集图书，并赠送万支国家绿照工程的中标节能灯管，在表达对市民义举的感谢认同之余，也将环保理念在更为广泛的受众群体中传播,1
举办向未来致意童声合唱音乐会，阐释我行对社会责任的思考，用孩子们纯净的歌声激发大家关注环保关注教育，为未来积蓄力量，播种希望,1
年月，在经济杂志主办的华尊奖评选中，深发展环保卡被授予中国信用卡消费客户满意十佳价值品牌；深发展靓绿卡，在奥神集团商旅经济论坛活动中荣获最受商旅精英欢迎的环保信用卡，在网易金钻奖评选中荣获最具潜力奖,1
指标对照表指标索引披露序号内容情况经济效益指标创造和分配的直接经济价值，包括总收入营运成本员工薪酬捐赠和其他社会投资留存收益向资本提供者和政府支付的资金机构活动因气候变化而引起的财务负担及其他风险机遇机构固定福利计划的覆盖范围政府给与机构的重大财务支持机构在重要营运地点工资的标准起薪点比照当地最低工资的比率的范围机构在重要营运地点从当地社区雇佣员工的程序，以及在当地社区聘用高级管理人员的比例机构通过商业活动，提供实物或免费专业服务而开展主要为大众利益的基础设施投资与服务及其影响机构对其重大间接经济影响包括影响的程度和范围的理解和说明环境效益指标按重量和体积计的原材料总用量使用的原材料中可循环再造物料的百分比按主要能源来源划分的直接能源消耗按主要能源来源划分的间接能源消耗通过采取节能措施和提高利用效率而节省的能源提供节能或再生能源的产品与服务的措施，及这些措施在降低能源需求方面的成果减少间接能源消耗的措施和成果从来源抽取的水的总量因抽取用水而受重大影响的水源循环再用和再用水的百分比及总量在保护区内或在保护区毗邻地区及保护区外生物多样性价值高的地区拥有租赁管理土地的位置和面积描述机构在保护区内及保护区外生物多样性价值高的地区的活动产品和服务对生物多样性造成的重要影响受到保护或恢复的生境管理对生物多样性的影响而进行的策略当前采取的行动及未来的规划按物种灭绝的风险，列出处于受营运活动影响地区的国际自然及自然资源保护联盟红色名录和国家保护名录的物种及其生境按重量计的直接和非直接温室气体排放总量按重量计的其它相关非直接温室气体排放量减少温室气体排放的措施及取得的成效按重量计的臭氧消耗物质的排放量按类型和重量计的氨氧化物硫氧化物和其它重要气体排放物,1
按类型计的环保总开支和总投资社会效益指标按雇用类型，雇用合同和地区划分的员工总数按年龄性别和地区划分的员工流动总量及比率按主要业务划分，只提供予全职雇员不提供予临的或兼职雇员的福利,0
在产品设计和营销理念上延续环保时尚的核心价值定位,0
面对日趋复杂的宏观环境和严格的监管要求，本行积极应对，密切跟踪宏观经济形势变化，加强政策引导，落实国家产业政策，调整优化信贷结构，促进贷款均衡投放，加大对中小企业贸易融资和零售信贷的支持力度，严格控制地方政府融资平台贷款项目贷款和房地产贷款；按照三个办法一个指引规定制定本行贷款管理制度，并相应调整优化信贷流程；按监管部门要求认真做好地方政府融资平台贷款自查和整改工作；对房地产贷款及时进行风险预警，并进行压力测试；加强对两高行业产能过剩及落后产能行业授信管理，持续关注国家加大节能减排和淘汰落后产能力度可能引发的信贷风险,0
面对日趋复杂的宏观环境和严格的监管要求，本行积极应对，落实国家产业政策和监管要求，严控地方政府融资平台贷款项目贷款和房地产贷款投放，认真做好地方政府融资平台贷款清查整改工作，多措并举加强地方政府融资平台房地产贷款风险管理，持续关注国家加大节能减排和淘汰落后产能力度可能引发的信贷风险,0
通过积分换树苗百万森林项目为环保加油万张地铁票免费送等活动继续巩固本行信用卡环保时尚的核心价值定位，同时不断提升业务创新能力，成功推出全球首张持卡人中文姓名信用卡，研发基于移动手机定位的实时双向营销模式，搭建行业领先的信用卡沟通平台,0
年，本行积极应对宏观经济金融形势和监管要求的变化，及时制定和调整全行信贷政策，大力发展中小企业贸易融资和零售信贷业务，继续倡导绿色信贷文化，加大对节能减排重点工程和项目企业节能减排技术创新和改造的信贷支持力度，严格控制两高一剩行业信贷投放，不断优化调整信贷结构；认真贯彻落实监管部门要求，狠抓地方政府融资平台贷款风险化解工作和房地产贷款风险管理工作；认真贯彻落实差别化住房信贷政策，积极调整个人信贷结构,1
本行实行信贷执行官制度，总行设首席信贷风险执行官负责全行信贷风险管理，并向各分行派驻信贷执行官和零售信贷风险主管分别负责对公和零售信贷风险管理；各分行信贷执行官和零售信贷风险主管直接向首席信贷风险执行官汇报工作，由首席信贷风险执行官负责其绩效考核，建立独立透明的信贷风险垂直管理体系,0
目录董事长行长致辞公司概况企业社会责任战略与管理长期能力建设利益相关方沟通股东财务绩效表现优异公司治理不断完善加强信息披露及投资者关系管理注重保护平安银行小股东利益实施全面风险管理持续完善内控管理体系反洗钱反腐败客户着力提升客户服务的运营效率系统改善公司客户服务品质持续关注零售客户满意度平安银行五项技能比武持续创新公司业务产品平安银行创新产品推出多项零售业务新产品平安银行新一贷绩效指标员工合适的薪酬福利体系健康与安全有效的内部沟通渠道和谐的工作氛围良好的学习环境环境和社会绿公司减少运营碳排放绿金融推动客户及伙伴重视环境问题绿公益促进公众践行环保理念教育公益灾难救助与帮贫扶困社区公益小微金融服务消费者教育合作伙伴同业合作伙伴供应链金融合作伙伴供应商社会认可联系我们董事长行长致辞年，深圳发展银行和平安银行对外面对复杂多变充满挑战的国内外经济金融形势，对内面临两行整合的特殊环境，迎难而上，积极应对，从多个层面推进最佳银行战略，不仅在业务上取得了显著增长，为股东创造了价值，还不遗余力地推动企业社会责任建设，回应和满足客户员工合作伙伴等各利益相关方诉求，身体力行地促进社会和环境可持续发展,0
我们充分认识到，必须从战略高度看待环境问题，不仅要注重自身的节能减排，还要把环境因素融入到产品和服务中，促进绿色金融和社会可持续发展,1
年，我行继续重视绿色信贷工作，着力加强节能减排重点工程和项目信贷支持，将环保评估机制纳入授信业务管理流程，严控两高一剩行业信贷投放,1
多年来，我们履行和实践企业社会责任的价值标准和行为准则，坚持诚信合规经营，维护客户利益，为社会提供优质金融产品和服务，保障员工合法权益，注重环保热衷公益回馈社会,1
年，我们继续大力发展供应链金融业务中小企业和零售信贷业务，继续倡导绿色信贷文化，积极支持授信企业节能减排和发展低碳经济项目，严格控制高污染高耗能行业和产能过剩行业信贷投放,1
平安银行创新产品年，平安银行专门为中小企业设计的一贷通小额信用贷网银循环贷有机贷经营贷专利贷版权贷和商标贷等；服务综合开拓业务的保费贷款金管家等；依托强大科技优势开发具有明显市场优势的网上银行现金管理等；专门为高新技术企业设计开发了专利贷版权贷和商标贷等融资产品；为了支持新兴低碳产业的发展，平安银行专门发布平安银行低碳信贷业务指引,1
环境和社会我们的使命对社会负责回馈社会建设国家我们的关注我们将低碳理念融入到运营业务和公益中，注重节能减排，促进绿色信贷，倡导绿色公益，全面促进低碳经济发展,1
我们充分认识到，必须从战略高度看待环境问题，不仅要注重自身的节能减排，还需要把环境因素融入到我们的产品和服务中，促进客户和合作伙伴减少碳排放，带动社区可持续发展,1
环境方面年，我们继续开展节能办公，环保生活活动，将多项低碳措施贯穿到我们日常运营业务经营及社会公益三大方面中，为建设绿色金融企业而积极探索，努力实践,1
绿公司减少运营碳排放节约用电年，我们对总行大厦采取了多项节能技术改造，取得了明显的节能减排效果,1
强调环保准入关，实行环保一票否决，把环保达标和节能减排合规作为对客户授信准入和审批的基本依据，严禁介入国家环保部公布的流域限批地区环境敏感地区的污染企业或项目,1
我们建立名单管理制，对高污染高耗能行业实行名单制管理，严格禁止对列入国家发改委环保部门公布的不符合环保标准和节能减排要求的企业或项目发放授信,1
对央行银监会重点关注的高污染高耗能行业，在坚持环保政策风险底线前提下，注意区别对待扶优限劣,1
我们积极支持授信企业节能减排和发展低碳经济项目,1
截至年末，我行对节能减排重点工程项目和支持节能减排技术创新技术改造和产品推广方面授信额度亿元，较年初增长亿元，增幅，授信余额亿元，较年初增长亿元，增幅,1
我们针对国家地区环保部门及监管部门要求，严格企业环保要求，对续做新做授信企业，重点考虑其生产设备先进程度产品环保情况行业环保情况环保措施等方面，从严审批,1
坚决退出出现环保问题而未按照有关部门整改通过的企业,1
环保信用卡我们在业内率先采用可降解环保材质，陆续推出靓绿卡靓车卡靓易卡靓房卡靓丽卡爽卡等系列环保信用卡，构筑了绿色环保的品牌理念，并牵手知名演员李冰冰作形象代言人，掀起了业内环保信用卡的新风尚,1
绿色采购管理体系我们在全行应用和推广了电子采购系统，尽量实现无纸化投标及存档；采购项目涉及分行的，尽量通过电话邮件等电子设施，实现远程评标；我们在采购合同中的加入环境条款，用来规范供应商的环保措施，并在同等情况下，优先选用采用环境安全措施的供应商,1
绿公益促进公众践行环保理念信用卡中心环保主题活动在推出各种环保金融产品的同时，我们的信用卡中心还致力于环保公益事业的推广,1
信用卡营销活动始终围绕环保的品牌主张，多次举办环保减排活动，呼吁广大公民低碳出行年月，我们精心筹备了零碳，让感情零距离创意环保婚礼；年月，在上海成功举办了绿色联盟启动仪式暨环保慈善酒会；年月，我们发起了辆单车低碳出行节能减排活动,1
我们希望通过这一系列的环保活动，让更多的市民加入低消耗低污染低排放的绿色生活方式,1
地球一小时年月日，我们总部及深圳分行的办公职场，参加了由世界自然基金会倡议的地球一小时熄灯活动，并倡议租住总部大厦的客户参与到该活动中来，积极普及低碳生活理念，倡导低碳生活,1
向宁波市江东民工子弟小学捐赠旧电脑月日，我们的宁波分行将台经过重新组装和调试的旧电脑，捐赠给宁波市江东民工子弟小学，这一汇聚环保和爱心的方式，得到了学校和公众的认可,1
社区公益绿色低碳午献爱年月，为鼓励员工低碳行为，倡导绿色环保理念，我们的总行共青团委机关工会组织开展了年度深发展绿色低碳午献爱心活动，总行各部室捐赠的件卖品全部现场售罄,1
年的计划和目标持续开展运营节能减排年，我们将持续落实中国平安低碳行动以及节能办公，环保生活活动的各项举措，通过一系列技术手段和管理流程，在公司运营的各个环节，持续进行节能减排和绿色运营管理,1
我们在采购制度采购评分环保产品使用方面帮助供应商提升企业社会责任能力建设,1
完善电子采购系统我们原有的采购日常业务操作，需要供应商提供各类纸质资料如投标文件营业执照资质证明等，消耗大量纸张，不利于绿色环保,1
同时强调采购合同中使用含有供应商环境保护条款和反腐败条款，用来规范供应商的环保等措施，并在同等情况下，优先选用采用环境安全措施的供应商,1
在采购流程中逐步纳入企业社会责任主动筛选原则我们要在采购流程中逐步纳入企业社会责任主动筛选原则，有针对性地在采购过程中提出低碳环保的制度要求,1
同时，我们还要总结整理环保产品开发的经验，对内积极宣传符合环保要求的产品的使用；对外加强与供应商的沟通，鼓励供应商推荐符合需求的环保产品,1
我们还要根据需求和市场发展趋势，丰富各层次环保产品的采购目录,1
月，我行荣获由深圳报业集团主办的年深圳最受欢迎特色信用卡评选环保最佳信用卡,1
通过采取节能措施和提高使用效率而节省的能源通过采取节能措施和提高使用效率而节省的能源,1
提供节能或再生能源的产品与服务的措施，及这些措施在降低能源需求方面的成果,1
按类型计的环保总开支和总投资,0
在深圳北京广州和杭州等家分行试点推广销售人员基本法，建立统一直观透明，以销售产能为基础的考核和激励标准，以提高人均产能，推动绩效文化,0
在营销理念上，延续环保时尚的核心价值定位，通过发起以，我们是环保新一代为主题的绿色联盟等活动，号召更多的组织个人共同支持环保公益活动，并联合众多合作商户，共同打造绿色环保产业,1
本行继续大力发展供应链金融业务中小企业和零售信贷业务，继续倡导绿色信贷文化，积极支持授信企业节能减排和发展低碳经济项目，严格控制高污染高耗能行业和产能过剩行业信贷投放，不断优化调整信贷结构二是严格执行信贷操作规程,1
着力加强节能减排重点工程和项目信贷支持，将环保评估机制纳入授信业务管理流程，严控两高一剩行业信贷投放,1
节能减排，保护环境,1
继续开展节能办公，环保生活活动，通过完善视频会议系统和电话会议系统，推广节水节电节纸等绿色运营措施，全力降低能耗与物耗；积极参与地球一小时等环保活动,1
本行严格按照国家产业调整的政策，对两高一剩行业高能耗高污染过剩产能的企业制定严格的发放贷款指导原则，强调环保准入关，实行环保一票否决,1
在坚持环保政策风险底线前提下，本行积极支持授信企业节能减排和发展低碳经济项目,1
截至年末，本行对节能减排重点工程项目和支持节能减排技术创新技术改造和产品推广方面授信额度亿元，较年初增长亿元，增幅，授信余额亿元，较年初增长亿元，增幅,1
节能减排，保护环境,1
继续开展节能办公，环保生活活动，通过完善视频会议系统和电话会议系统，推广节水节电节纸等绿色运营措施，全力降低能耗与物耗；积极参与地球一小时等环保活动,1
在绿色金融方面，我行将多项低碳措施贯穿到日常运营业务经营及社会公益三大方面中，注重节能减排，促进绿色信贷，倡导绿色公益，全面促进低碳经济发展，为建设绿色金融企业而积极探索，努力实践,1
平安银行通过业务和管理的发展不断提升企业品牌形象，并积极履行社会责任，多年来积极履行和实践企业社会责任的价值标准和行为准则，坚持诚信合规经营，维护客户利益，为社会提供优质金融产品和服务，保障员工合法权益，注重环保热衷公益回馈社会,1
相关方沟通方式对我们期望沟通内容名称股东公开信息披露，股不断提高公司价值公司重要信息，重东大会，股东书面和市值，降低企业风大经营决策，经营通知，业绩发布险，保证企业可持续管理数据，业务创会，官方网站发展，持续提高盈利新及成就能力与核心竞争力客户客户满意度调查，提供优质的产品和改善服务的措施，客户服务热线服务，并不断改进了解客户需求，产，客户品服务相关资讯服务活动，客户经理日常联络员工工会，合理化建为员工提供更好的员工权益保障，职议，啄木鸟信箱，薪酬福利和职业成业生涯规划，绩效座谈会，培训交长机会管理流，内刊内网等内宣平台，绩效管理机制社区社区服务活动，志安全运营，促进社区企业社会责任理愿者活动，各种庆繁荣与和谐，提供安念及行动，金融服祝日的联欢全健康的环境务及产品风险教育，社区项目供应商合同，协议，综合公平采购，诚信履合规管理，产品与与合作评估约，互惠合作，实现服务质量，进一步伙伴双赢合作机会在银行运营的日常工作中，我们运用上述沟通机制和策略，与利益相关方开展了积极而富有成效的沟通；年，两行整合沟通组针对整合过程中的各个关键时点，统一策划组织相关部门和员工，开展了针对监管投资者客户员工媒体和合作方等利益相关方的多项沟通工作，争取利益相关方的理解和支持，顺利完成了两行整合工作；我们还在绿色信贷等环保领域与国内组织加强了沟通和联络，提升了绿色信贷披露水平，获得了组织及媒体的好评,0
同时，我们继续倡导绿色信贷文化，积极支持授信企业节能减排和发展低碳经济项目，严格控制高污染高耗能行业和产能过剩行业信贷投放,1
健心举行感动在身边系列征文摄影比赛，让员工放松心情，感受生活，塑造健康积极心态；举办读书月活动，发放购书卡，为员工购书提供便利，丰富员工精神文化生活；组织员工关爱系列活动，关注生病退休等特殊群体，充分体现公司对员工的关爱；设立了统一的膳食补贴生日慰问集体活动等项目进一步提升员工感知度和归属感健身在全行范围内倡议低碳出行快乐步行生活理念，鼓励员工少开车多乘坐公共交通工具，倡导员工树立积极运动的健康理念，打造健康体魄；举办一系列体育户外及各类兴趣活动，成功举行了平安一家亲全行趣味运动会，员工俱乐部活动等，沟通融合，提高士气；开展员工体检活动，关注员工身体健康,0
环境和社会我们的使命对社会负责回馈社会建设国家我们的关注我们将低碳理念融入到运营业务和公益中，注重节能减排，促进绿色信贷，倡导绿色公益，全面促进低碳经济发展,1
我们充分认识到，必须从战略高度看待环境问题，不仅要注重自身的节能减排，还需要把环境因素融入到我们的产品和服务中，促进客户和合作伙伴减少碳排放，带动社区可持续发展,1
环境方面年，我们开展低碳活动，将多项低碳措施贯穿到我们日常运营业务经营及社会公益三大方面中，为建设绿色金融企业而积极探索，努力实践,1
绿公司减少运营碳排放节约用电年，我们对总行统一管理的大厦采取了多项节能技术改造和管理改进措施，取得了明显的节能减排效果,1
总行大厦通过合理使用变压器以及落实节能责任到人等，有效节约用电万度；南山大厦通过地下室照明改造和根据气温及时调整进出水温度，节约用电万度；信息科技大楼通过人体感应开关楼层空调末端的风机盘管启停改为时控集中控制根据气温科学合理的开启中央空调主机等，节约用电约万度,1
我们建立了绿色信贷的快速审批通道，积极开展绿色信贷，积极支持授信企业节能减排和发展低碳经济项目，积极支持新能源经济，对绿色经济实行快速通道审批,1
对列入国家和省级的重大节能环保项目，优先安排审批，优先给予额度支持,1
截至年末，我行支持绿色信贷含对节能减排重点工程项目和支持节能减排技术创新技术改造和产品推广授信总额亿元，授信余额亿，其中贷款余额亿元，较年初增加亿元，增幅,1
对属于产业结构调整指导目录淘汰类的项目环保违法项目以及其他不符合国家节能减排政策规定和国家明确要求淘汰的落后产能的违规项目，不得提供任何形式的新增授信，已有授信要采取妥善措施确保债权安全收回,1
信用卡绿色账单我们信用卡中心大力推广电子账单，通过短信告知网站提示纸制账单宣传等方式鼓励客户舍弃传统的纸质账单，多多选择电子账单，以此倡导低碳消费方式,1
未来，我们将强化电子账单的便捷功能及内容信息量，带给客户更加简单便捷低碳环保的服务方式并对合并后的平安银行客户进行电子账单全面推动，以扩大电子账单的使用率,1
绿色采购管理体系我们在全行应用和推广了电子采购系统，尽量实现无纸化投标及存档；采购项目涉及分行的，尽量通过电话邮件等电子设施，实现远程评标；我们在采购合同中的加入环境条款，用来规范供应商的环保措施，并在同等情况下，优先选用采用环境安全措施的供应商,1
绿公益促进公众践行环保理念地球一小时年月日，我们总部及深圳分行几个大厦的办公职场参加了由世界自然基金会倡议的地球一小时熄灯活动；我们还倡议租住大厦的客户参与到该活动中来，积极普及低碳生活理念，倡导低碳生活,1
年的计划和目标持续开展运营节能减排年，我们将持续落实中国平安低碳行动，通过一系列技术手段和管理流程，在公司运营的各个环节，持续进行节能减排和绿色运营管理,1
我们在采购制度采购评分环保产品使用方面帮助供应商提升企业社会责任能力建设,1
供应商年，在供应商管理方面，通过制度建设系统建设供应商信息库管理以及年度供应商评估优化等工作，进一步提升采购业务的高效环保廉洁,0
同时，强调采购合同中使用含有供应商环境保护条款和反贿赂条款，用来规范供应商的环保投入措施，如工程施工类供应商选择过程中，要求供应商提供环保认证，用来规范供应商的环保措施，优先选用采用环境安全措施的供应商，有助于供应商提升其企业社会责任感,1
在采购流程中逐步纳入企业社会责任主动筛选原则我们要在采购流程中逐步纳入企业社会责任主动筛选原则，有针对性地在采购过程中提出低碳环保的制度要求,1
同时，我们还要总结整理环保产品开发的经验，对内积极宣传符合环保要求的产品的使用；对外加强与供应商的沟通，鼓励供应商推荐符合需求的环保产品,1
根据需求和市场发展趋势，丰富各层次环保产品的采购目录,1
年月，由中国节能协会节能服务产业委员会主办的中国节能服务产业投融资论坛在北京隆重举行,0
北京分行推出的节能服务产业创新产品未来收益贷，荣获年合同能源管理绿色金融创新优秀产品奖,1
通过采取节能措施和提高使用效率而节省的能源通过采取节能措施和提高使用效率而节省的能源,1
提供节能或再生能源的产品与服务的措施，及这些措施在降低能源需求方面的成果,1
按类型计的环保总开支和总投资,0
本行现金分红政策调整变更的条件和程序合规透明,0
继续加强节能减排重点工程和项目的信贷支持，将环保评估机制纳入授信业务管理流程，严控两高一剩行业信贷投放,0
节能减排，保护环境,1
开展低碳行动，通过推广使用视频会议系统，以及节水节电节纸等绿色运营措施，全力降低能耗与物耗，并倡导全行员工低碳出行；积极参与地球一小时等环保活动,1
建立了绿色信贷的快速审批通道，积极开展绿色信贷，支持授信企业节能减排和发展低碳经济项目，支持新能源经济，对绿色经济实行快速通道审批,1
对列入国家和省级的重大节能环保项目，优先安排审批，优先给予额度支持,1
对属于产业结构调整指导目录淘汰类的项目环保违法项目以及其他不符合国家节能减排政策规定和国家明确要求淘汰的落后产能的违规项目，不得提供任何形式的新增授信，已有授信需采取妥善措施确保债权安全收回,1
同时，继续倡导绿色信贷文化，积极支持授信企业节能减排和发展低碳经济项目，严格控制高污染高耗能行业和产能过剩行业信贷投放,1
加快推进新资本协议项目实施，建立信用市场和操作三大风险评估工具和模型；建立风险定价机制，确保收益覆盖风险；推行价值管理工具，提高资本收益；积极推进经济资本管理，建立经济资本的计量分配机制，建设资本节约型银行,0
本行现金分红政策调整变更的条件和程序合规透明,0
继续加强节能减排重点工程和项目的信贷支持，将环保评估机制纳入授信业务管理流程，严控两高一剩行业信贷投放,1
五节能减排，保护环境,1
开展健康快乐低碳行活动，通过推广使用视频会议系统，以及节水节电节纸等绿色运营措施，全力降低能耗与物耗，并倡导全行员工低碳出行；积极参与地球一小时等环保活动,1
平安银行股份有限公司年企业社会责任报告目录关于本报告董事长行长致辞公司概况企业社会责任战略与管理长期能力建设利益相关方沟通股东财务绩效稳步提升公司治理不断完善加强信息披露及投资者关系管理实施全面风险管理借力审计系统平台，全面提升审计质量与效率反洗钱反腐败客户深化流程优化，提升客户服务体验系统改善公司客户服务品质持续关注零售客户满意度信用卡客户满意度确保客户资金安全持续创新公司业务产品推出多项零售业务新产品推出小微金融创新产品贷贷平安商务卡员工完善的员工职业发展体系合适的薪酬福利体系健康与安全有效的内部沟通渠道和谐的工作氛围员工文体活动计划完善的培训体系和学习平台环境和社会减少运营碳排放推动客户及伙伴重视环境问题促进公众践行环保理念灾难救助与帮贫扶困教育公益社区公益普惠金融合作伙伴同业合作伙伴供应链金融合作伙伴保理商合作联盟金橙俱乐部产学研合作伙伴供应商社会认可指标对照表指标附录联系我们关于本报告欢迎阅读平安银行股份有限公司年企业社会责任报告,0
在绿色信贷方面，我们积极与联合国环境规划署金融行动组等机构开展有关绿色信贷的对话和交流工作，稳步提升绿色信贷披露水平；继续加强节能减排重点工程和项目的信贷支持，将环保评估机制纳入授信业务管理流程，严控两高一剩行业信贷投放,1
平安银行通过业务和管理的发展不断提升企业品牌形象，多年来积极履行和实践企业社会责任的价值标准和行为准则，坚持诚信合规经营，维护客户利益，为社会提供优质金融产品和服务，保障员工合法权益，注重环保热心公益回馈社会,0
年，我们借助中国平安低碳潜力评估项目，重点评估了银行创新产品和流程改造可能带来的降低碳排放效果及潜力，梳理了银行绿色运营方面的路径和措施，为进一步的量化管理奠定了基础,1
相关方名沟通方式对我们的期望沟通内容称股东公开信息披露，股东不断提高公司价值和市公司重要信息，重大大会，股东书面通知，值，降低企业风险，保经营决策，经营管理业绩发布会，官方网证企业可持续发展，持数据，业务创新及成站续提高盈利能力与核心就竞争力客户客户满意度调查，客提供优质的产品和服改善服务的措施，了户服务热线，务，并不断改进解客户需求，产品服客户服务活动，客户务相关资讯经理日常联络员工工会，合理化建议，为员工提供更好的薪酬员工权益保障，职业座谈会，培训交流，福利和职业成长机会生涯规划，绩效管理内刊内网等内宣平台，绩效管理机制社区社区服务活动，志愿安全运营，促进社区繁企业社会责任理念者活动，各种庆祝日荣与和谐，提供安全及行动，金融服务及的联欢健康的环境产品风险教育，社区项目供应商与合同，协议，综合评公平采购，诚信履约，合规管理，产品与服合作伙伴估互惠合作，实现双赢务质量，进一步合作机会在银行运营的日常工作中，我们运用上述沟通机制和策略，与利益相关方开展了积极而富有成效的沟通；我们在绿色信贷等环保领域与国内加强了沟通和联络，提升了绿色信贷披露水平,0
